age,log_consumption,sd_log_consumption,log_liq_wealth,sd_log_liq_wealth,log_housing_wealth,sd_log_housing_wealth,log_income,sd_log_income,log_mortgage,sd_log_mortgage,WHtM,sd_WHtM,PHtM,sd_PHtM,housing,sd_housing,consumption,sd_consumption,liq_wealth,sd_liq_wealth,housing_wealth,sd_housing_wealth,income,sd_income,mortgage,sd_mortgage,log_housing_wealth_if_owner,sd_log_housing_wealth_if_owner,var_log_consumption,var_log_liq_wealth,var_log_housing_wealth,var_log_income,var_log_mortgage,var_WHtM,var_PHtM,var_housing,var_consumption,var_liq_wealth,var_housing_wealth,var_income,var_mortgage,var_log_housing_wealth_if_owner
50,9.826973,.75698966,6.4761891,3.6264749,7.1267037,5.5368676,10.776919,1.5202683,5.4644594,5.6239567,.2544643,.43575424,.28482142,.45153096,.65714288,.47487625,22497.521,14693.497,31664.049,166491.91,68437.156,116321.92,72445.578,50282.27,63571.012,101965.95,10.844984,2.5087888,.57303333,13.15132,30.656902,2.3112159,31.628889,.18988176,.20388021,.22550745,215898864,27719555072,13530789888,2528306688,10397056000,6.2940211
51,9.8490095,.76489991,6.4750953,3.6441264,7.0842881,5.6171684,10.819125,1.4319345,5.2237697,5.5610104,.27040815,.44435963,.29081634,.45433217,.65221089,.4764713,23077.195,15409.783,33327.352,135305.11,75653.438,141358.61,73001.188,50446.277,55736.602,91234.172,10.861959,2.7043238,.58507186,13.279657,31.552582,2.0504363,30.924837,.19745548,.20641772,.2270249,237461424,18307473408,19982256128,2544826880,8323674112,7.3133669
52,9.8025532,.82871312,6.5678492,3.5394044,7.4641991,5.4730968,10.799829,1.4386575,5.5755424,5.5737748,.25212464,.4344376,.27006611,.44420347,.68555242,.46451485,22616.301,16778.332,35033.047,119772.02,78827.266,140973.25,73563.82,51696.582,60516.906,92447.484,10.887861,2.5269673,.68676543,12.527384,29.954788,2.0697355,31.066965,.18873604,.19731672,.21577404,281512416,14345337856,19873458176,2672536576,8546537472,6.3855639
53,9.7896976,.83317417,6.4940362,3.6993423,7.5300331,5.5332103,10.822071,1.3121305,5.2585883,5.5661731,.26850095,.44339001,.24857685,.4323931,.67741936,.46768567,22324.184,16254.625,46261.602,319972.19,83878.609,139913.72,73451.359,52293.148,54050.434,88785.688,11.115764,2.302624,.69417918,13.685133,30.616415,1.7216864,30.982283,.1965947,.1869638,.21872988,264212832,102382198784,19575848960,2734573312,7882898432,5.3020773
54,9.7544556,.90305305,6.6978259,3.6377964,7.6484351,5.4913931,10.78986,1.4339676,5.4164085,5.5316305,.24349636,.42941561,.26430801,.44119364,.69406867,.46104071,21903.654,16275.396,44898.852,209254.86,86527.914,139730.64,73281.219,51117.852,58505.75,92625.664,11.01971,2.5021977,.81550479,13.233562,30.155397,2.056263,30.598936,.18439777,.19465183,.21255854,264888496,43787595776,19524651008,2613034752,8579513856,6.2609935
55,9.7964754,.72743434,6.573791,3.7308416,7.6298151,5.5129571,10.831776,1.4040062,5.1772428,5.5579567,.28008088,.44926569,.24469161,.43012172,.68149644,.46613166,21987.225,15563.65,43608.504,193144.91,84020.008,134226.95,73546.438,50449.371,52175.402,84216.922,11.195679,2.15326,.52916074,13.919179,30.392696,1.9712335,30.890882,.20183966,.1850047,.21727872,242227216,37304954880,18016874496,2545138944,7092489728,4.6365285
56,9.7883883,.7062183,6.8445096,3.5677207,7.9956651,5.4013209,10.858176,1.2227385,5.4446325,5.5183754,.25675675,.43709022,.22972973,.42089605,.72184682,.44834176,21761.908,14953.811,40996.387,116656.94,90755.383,145299.55,73039.227,48878.09,55699.773,84497.688,11.076677,2.5006008,.49874428,12.728631,29.174269,1.4950894,30.452467,.19104786,.17715348,.20101033,223616448,13608841216,21111957504,2389067776,7139858944,6.2530046
57,9.788518,.75157511,6.7457566,3.6423917,7.792182,5.4946303,10.829565,1.1617384,5.2164741,5.5460625,.27076223,.44460648,.23321956,.4231216,.705347,.45614618,21831.773,14471.125,45128.039,180031.88,88056.656,128827.89,71973.141,51066.012,54109.355,89300.078,11.047303,2.6086328,.56486517,13.267017,30.190962,1.3496361,30.758808,.19767493,.17903189,.20806934,209413456,32411475968,16596625408,2607737600,7974503936,6.804965
58,9.7656555,.68705803,7.0449347,3.5697827,8.1770401,5.4016461,10.868109,1.1461854,5.2113309,5.5095525,.24457832,.43009606,.21084337,.40815336,.72289157,.44784036,20996.119,14111.85,49248.773,130325.82,102626.76,175715.61,73239.438,50390.715,48843.508,76962.977,11.311571,2.2058089,.47204873,12.743349,29.17778,1.313741,30.355169,.18498263,.16658916,.20056099,199144304,16984819712,30875975680,2539224064,5923299840,4.865593
59,9.7535963,.67235941,7.0494056,3.5444927,8.0493298,5.4475384,10.791305,1.2767893,5.1873393,5.5335841,.25584415,.43661827,.21038961,.40785027,.72597402,.44631204,20850.846,13753.656,56222.383,164662.44,91714.82,128379.91,69778.82,47141.125,54533.379,91441.906,11.087627,2.6738048,.45206717,12.563429,29.675674,1.630191,30.620554,.19063552,.16634184,.19919443,189163056,27113717760,16481400832,2222285568,8361622016,7.1492319
60,9.7436581,.75136489,6.9559836,3.723484,8.4445276,5.3346076,10.793495,1.3567529,5.0425653,5.5083003,.25733334,.43745634,.20133333,.40126413,.74533331,.43596441,20686.955,13015.319,70764.055,296102.53,115657.55,198163.78,71800.539,50115.188,49223.809,81693.195,11.329866,2.3345144,.56454921,13.864333,28.458038,1.8407784,30.341372,.19136804,.1610129,.19006497,169398544,87676706816,39268884480,2511532032,6673778176,5.4499574
61,9.746769,.62871027,7.2912049,3.4164131,8.1598892,5.4326406,10.764688,1.2603235,4.6361628,5.438427,.22175732,.4157187,.21478382,.41095898,.72245467,.44810039,20392.74,12502.283,76146.391,252471.56,99701.75,136653.92,68565.336,48159.797,49659.113,89879.531,11.294673,2.3235538,.39527661,11.671878,29.513584,1.5884154,29.576488,.17282204,.16888727,.20079395,156307088,63741890560,18674294784,2319366144,8078330368,5.3989024
62,9.7396984,.59055787,7.3118243,3.5794551,8.5820608,5.3422136,10.807111,1.0766708,4.908987,5.5137119,.21483772,.41102749,.19783616,.39867616,.74961358,.43357074,19568.85,11075.234,61105.117,172714.08,116742.09,188971.23,67108.297,45673.406,46313.672,77421.109,11.448647,2.2815146,.34875861,12.812499,28.539246,1.15922,30.40102,.1689436,.15894268,.18798359,122660816,29830152192,35710128128,2086060032,5994028032,5.2053089
63,9.685091,.74046499,7.3196154,3.5836024,8.3463898,5.3545218,10.745812,.94151247,4.3960428,5.3694243,.19205298,.39424101,.18708609,.39030385,.74172187,.43805051,19601.691,11315.189,69087.758,195989.05,106310.26,138777.94,64607.129,46670.004,46392.035,86857.664,11.252723,2.4288976,.5482884,12.842206,28.670902,.8864457,28.830717,.15542597,.15233709,.19188824,128033512,38411706368,19259316224,2178089216,7544253952,5.8995438
64,9.7750206,.57588404,7.6237993,3.616864,8.8909931,5.1958642,10.825878,.80747443,4.651752,5.4865475,.18518518,.38882688,.1754386,.38071305,.77582848,.41744262,20337.406,10829.773,71469.125,191408.75,129275.02,186886.58,64697.105,42320.27,44827.688,79103.461,11.459998,2.3026817,.33164242,13.081705,26.997005,.65201497,30.102203,.15118635,.14494242,.17425834,117283992,36637310976,34926592000,1791005184,6257357312,5.3023429
65,9.6906004,.63491786,7.133986,3.715153,8.486577,5.3724875,10.730998,.87380016,4.3378978,5.4233098,.21700224,.41266602,.20134228,.40145251,.74496645,.43636847,19639.455,16444.613,73716.688,231145.59,119471.63,167642.31,60523.715,42737.59,44932.82,87270.859,11.391891,2.3617582,.4031207,13.802361,28.863623,.76352674,29.412289,.17029324,.16116412,.19041744,270425312,53428285440,28103944192,1826501632,7616202752,5.5779018
