pid,housing,log_consumption,log_liq_wealth,log_housing_wealth,log_income,age,age_sq,cons
12870213,1,8.6688747,2.9163423,13.369253,11.363888,30,900,1
12925214,0,9.7097826,2.2301965,0,9.3544912,29,841,1
12936218,0,10.844172,4.93643,0,11.800218,28,784,1
12965213,0,10.861206,2.4685061,0,11.043653,30,900,1
12979222,0,10.00453,11.492558,0,12.391025,27,729,1
13026215,0,10.351191,10.611532,0,10.704829,30,900,1
13031217,0,8.793231,4.8034863,0,10.910409,22,484,1
13038235,0,9.5807114,9.7713966,0,11.238782,27,729,1
13082215,0,9.8748055,10.109775,0,10.787364,30,900,1
13088353,1,9.9520273,1.2340078,12.047619,9.5653725,30,900,1
13103220,0,10.693817,2.4685061,0,11.285021,25,625,1
13122217,0,9.3575344,2.9163423,0,9.3017149,25,625,1
13134213,1,10.550322,10.174819,9.7659893,11.653601,30,900,1
13199213,1,10.425044,9.9484367,10.341943,10.585092,26,676,1
13237373,0,9.5232449,10.057867,0,11.347534,28,784,1
13253215,0,9.9206495,2.5647156,0,11.203375,28,784,1
13286214,0,10.281698,2.1050286,0,9.9043388,29,841,1
13347219,0,10.475244,5.0176549,0,10.162652,27,729,1
13454213,0,9.777998,11.396801,0,11.358921,26,676,1
13477367,0,9.9951553,4.0883608,0,12.028577,29,841,1
13487213,1,10.114383,8.6271534,11.339565,11.234818,29,841,1
13488217,0,9.0478172,2.9975672,0,9.2728453,25,625,1
13527219,0,10.014149,3.3124599,0,10.919461,25,625,1
13527357,0,9.4037209,4.565177,0,11.931165,23,529,1
13593355,0,8.5934286,7.0931382,0,9.6021032,29,841,1
13607217,1,10.718288,1.2340078,12.813087,11.5543,29,841,1
13641222,0,10.835526,4.4885936,0,12.070061,22,484,1
13644213,0,9.5388212,6.4977956,0,10.809772,28,784,1
13651217,0,8.0281153,.99569839,0,9.7272072,25,625,1
13652213,0,11.129775,4.2502842,0,12.58321,27,729,1
13662217,0,9.3090992,1.7630692,0,8.9537439,29,841,1
13665215,0,10.361815,2.0682735,0,9.4626942,29,841,1
13670220,0,10.5275,6.5684876,0,12.040092,30,900,1
13672217,1,11.385298,14.817742,15.360821,11.63676,30,900,1
13692218,0,9.6973867,9.0207834,0,11.715192,26,676,1
13704217,0,9.0095863,4.4885936,0,9.2335787,24,576,1
13704364,0,9.6462917,2.4685061,0,11.203375,26,676,1
13711362,0,9.0716124,2.9975672,0,11.141794,29,841,1
13744357,0,10.387469,3.2312353,0,12.091203,25,625,1
20967575,0,10.169157,9.8190498,0,11.082667,30,900,1
21263571,1,10.538534,8.6285315,9.279542,10.959185,28,784,1
21293573,1,9.4876213,9.0935078,10.523262,11.027184,30,900,1
21644576,0,9.1681604,5.1516933,0,9.7829247,29,841,1
22316576,1,10.156085,9.6565313,10.152058,12.201867,28,784,1
22918581,0,9.7319946,5.6655674,0,11.356215,29,841,1
23088570,0,10.353483,4.4885936,0,12.214328,29,841,1
25661572,0,10.059169,5.0176549,0,11.325803,29,841,1
