d_c,lag_log_a,_Iage_group_1,_Iage_group_2,_Iage_group_3
.21399307,8.6134024,1,0,0
.50080776,8.9368505,0,1,0
-.31697369,7.8690305,1,0,0
-.19366646,8.5698633,1,0,0
.35820484,10.154948,1,0,0
-.0028324127,9.9996967,0,1,0
.2334528,10.392138,0,1,0
.045027733,9.7727203,0,1,0
-.10980988,10.117548,1,0,0
-.044157982,10.179301,1,0,0
.15212631,8.6134024,0,0,0
.58482265,9.2935257,0,0,0
.38337231,9.6475573,1,0,0
-.6095314,10.277716,0,1,0
.28635597,10.362671,0,1,0
.19379425,9.8916187,0,1,0
.21150875,10.895723,0,1,0
.51889706,10.566214,0,1,0
-.16292858,10.93579,0,0,1
.15017414,7.4643049,1,0,0
-.48235512,9.9996967,0,1,0
.27897263,8.0895529,0,1,0
.45973873,9.4861536,1,0,0
-.075201988,10.130255,1,0,0
-.45325184,9.2669306,1,0,0
.55214405,9.9996967,1,0,0
-.39288235,9.8469334,0,1,0
.12931061,11.693085,0,1,0
.099743843,8.2821817,0,1,0
-.19953442,11.30891,0,1,0
-.51924229,8.6791439,0,1,0
.74088669,9.0834064,0,0,1
-.018806458,9.2935257,0,0,1
-.0055389404,11.544677,0,0,1
.83198261,9.30655,0,1,0
-.12598515,8.600378,0,1,0
.45526505,8.2331352,1,0,0
-.24992943,7.069706,0,1,0
-.50681877,8.1025772,0,1,0
.78503799,8.6956882,0,1,0
-.48278522,7.9203238,0,1,0
-.19738102,7.8767161,0,1,0
.021714211,7.539988,0,1,0
.0069026947,8.8614655,0,0,1
-.18460178,8.7957239,0,0,1
.56208706,9.2935257,0,0,1
.0029611588,8.731266,0,0,1
.012289047,6.9253087,1,0,0
.6215992,7.9751306,0,1,0
-.42297554,8.5489445,0,0,1
.0092124939,7.4095106,0,0,1
.33684349,11.83586,0,0,1
.22243118,10.446053,0,0,1
.90936852,9.3807936,0,0,1
-.31995678,9.437108,0,0,1
-.13067913,8.1683187,0,0,1
-.52428722,8.6562214,0,1,0
.51595306,10.500859,0,0,1
.02773571,10.318219,0,0,1
.14480782,9.5814638,0,0,1
.069088936,12.205504,0,0,1
-.35328102,8.5489445,0,1,0
-.75148201,9.748518,0,0,0
.56811714,9.051446,1,0,0
.037968636,9.9900341,0,0,1
.047460556,8.2821817,0,0,1
-.065361977,9.7668905,1,0,0
.61648655,8.0998592,1,0,0
.17597008,7.9751306,1,0,0
.28038597,10.941185,0,1,0
.078448296,12.476878,0,1,0
.1114006,11.011298,0,1,0
.64653015,10.066995,0,0,1
-.0011091232,13.441785,0,0,1
-.13654804,11.095592,0,0,1
.18117428,11.104815,0,0,1
.040097237,11.709277,0,0,1
.11551189,7.40943,0,0,1
.10948563,10.683181,0,1,0
-.25540829,11.621626,0,0,1
-.1839838,11.971061,0,0,1
-.048078537,11.879455,0,0,1
-.18750858,12.886817,0,0,1
.16321278,12.302282,0,0,1
.014007568,9.1537857,0,1,0
-.22117424,9.7120838,0,1,0
.25190639,9.9244089,0,1,0
.30913448,10.052294,0,1,0
.21366596,9.9600773,0,0,1
-.15424156,9.7120152,0,0,1
.11270523,10.704513,0,0,1
-.18163395,10.937708,0,0,1
.096243858,9.8422947,1,0,0
.2936039,10.680265,1,0,0
.27734089,10.862142,1,0,0
-.33343887,11.082642,1,0,0
.21711349,9.2420921,0,0,0
.23247433,7.9203238,1,0,0
-.38172531,9.4861536,1,0,0
.49041271,7.1345229,0,1,0
.13274384,9.9600773,0,1,0
-.36947727,9.4888716,0,1,0
.16704273,8.3258009,0,1,0
-.076665878,9.7529049,0,1,0
.41219044,9.171443,0,1,0
.014324188,10.718041,0,1,0
.23243141,10.320081,0,1,0
.075198174,10.717537,0,1,0
.19819927,10.268085,0,0,1
-.80375481,9.4244137,0,0,1
.098077774,10.692912,0,1,0
.061146736,9.4861536,0,1,0
.30227375,9.8425732,0,1,0
.11218262,10.288582,0,1,0
.089629173,9.7120152,0,0,1
-.046662331,9.7635288,0,0,1
-.15804672,9.8425732,0,0,0
-.51432037,10.683181,0,1,0
.83097267,9.9352274,0,0,1
-.18067074,11.501903,0,1,0
.30222988,11.726986,0,1,0
-.079950333,7.8767161,0,1,0
1.2081985,7.8276701,0,0,1
-.82956505,8.1683187,0,0,1
-.22776794,7.1862864,0,0,1
-.18776321,7.8557973,0,0,1
.6319561,7.6874485,1,0,0
-.22300625,7.9203238,1,0,0
-.23301029,7.183569,0,1,0
.067480087,7.8276701,0,1,0
-.01106739,7.9859967,0,1,0
-.16664314,7.0039649,0,1,0
.05497551,6.9909406,0,1,0
.30201721,7.1218286,0,0,1
-.55929375,10.683181,0,0,1
-.21181774,7.6971803,0,0,0
.22259998,6.9113793,1,0,0
.41287708,8.600378,1,0,0
-.15668583,8.3258009,1,0,0
.21268177,10.625054,0,0,1
-.14708996,8.6134024,0,0,1
.13657761,9.2935257,0,0,1
.0017585754,8.0381193,0,0,1
.34997463,8.6682777,0,1,0
.11590195,9.7668905,0,1,0
-.6661396,7.8557973,1,0,0
-.19286346,12.595189,0,0,1
.36550903,13.056123,0,0,1
.11680889,9.3066177,0,0,1
-.39218426,9.4861536,0,0,1
.37446022,8.9262819,0,0,1
-.11915207,9.0156164,0,0,1
-.42712116,8.7439604,1,0,0
-.055415154,9.149148,1,0,0
.30437469,8.6134024,1,0,0
-.45132065,9.3722916,0,0,0
.48706818,7.6840878,1,0,0
.21316147,7.6045265,0,0,1
-.14445686,7.0039649,0,0,1
-.23782921,7.2520275,0,1,0
-.008644104,7.1862864,0,1,0
.47900391,8.401927,0,1,0
-.28395939,6.9909406,1,0,0
-.30780697,6.939507,1,0,0
-.10029316,11.019653,0,1,0
-.11685753,10.753537,0,0,1
.35221481,10.340569,0,0,1
.43777275,10.963164,0,0,1
-.65926933,10.535442,0,0,1
-.091780663,10.437952,0,0,1
.88372993,8.3224688,1,0,0
-.6656847,8.2567282,1,0,0
.11600018,7.0397305,1,0,0
-.27667141,8.5489445,0,1,0
-.39906502,7.9203238,1,0,0
.70602703,9.4135838,0,0,0
-.18209934,8.343483,1,0,0
-.59062767,7.3320704,1,0,0
.46842384,8.3902597,1,0,0
-.45302105,10.197603,1,0,0
-.13369656,11.039998,0,0,1
.28262234,8.3122978,0,0,1
-.029342651,9.0703821,0,0,1
.26222229,8.5489445,0,0,1
-.48923111,7.6326542,1,0,0
-.099720001,9.3614254,1,0,0
.28968239,10.171616,0,1,0
.14264202,9.3807936,0,1,0
.21552086,10.63103,0,1,0
-.090409279,11.674876,0,1,0
-.67373753,12.132463,0,0,1
.17221546,10.683181,0,1,0
-.058950424,9.9352274,0,1,0
.11493874,11.190902,0,1,0
-.20702839,11.228868,0,1,0
.082679749,10.758586,0,0,1
.14905167,10.405162,0,0,1
.0034246445,11.085285,0,0,1
.44980526,9.4244137,0,0,1
.72652054,10.172356,0,0,1
-.92842102,11.900005,0,0,0
-.06124115,11.432064,1,0,0
.57352066,11.452011,1,0,0
.17331982,10.683181,0,1,0
-.72357178,8.3257895,0,1,0
.22820663,9.1294794,0,1,0
.31371689,8.7439604,0,1,0
.028151512,8.7439604,1,0,0
.43955326,10.530326,0,1,0
-.21757793,10.392138,0,1,0
.60836315,12.909605,0,1,0
.067484856,8.613471,0,1,0
-.14038563,9.8916187,0,1,0
-.1033411,10.078962,0,0,1
.031211853,9.5546131,0,0,1
-.017333031,11.609135,0,0,1
.13842201,11.59611,0,0,1
-.10670471,10.628386,0,0,1
-.25422573,11.011366,1,0,0
.19022465,11.095592,0,1,0
-.039163589,11.194966,0,1,0
-.12920284,11.112758,0,1,0
.39515018,9.9996967,0,1,0
.18068409,10.277716,1,0,0
-.051362991,9.0189362,1,0,0
.1738863,8.9753284,1,0,0
.41021824,9.7735806,1,0,0
-.86924076,8.6791439,1,0,0
.43298435,8.1025772,0,1,0
.14789391,9.8813124,0,1,0
-.04517746,7.6458187,1,0,0
-.2945385,8.3772345,1,0,0
.33604813,12.534257,0,0,1
.23396778,10.887142,0,0,1
-.33572006,11.683378,0,0,1
.010126114,11.541243,0,0,1
.6200285,8.4799395,0,0,1
-.0315485,7.9751306,0,0,1
-.036219597,12.139832,0,0,1
.37477207,8.5347462,0,0,1
.2781601,7.183569,0,0,1
.091952324,7.183569,0,0,1
.6190815,8.2331352,0,0,1
-.50632095,7.3658905,0,1,0
-.17285061,10.160748,0,1,0
-.67700863,7.6326542,0,1,0
-.64491177,7.8276701,1,0,0
-.11773777,8.3902597,1,0,0
.2332716,10.970863,0,0,1
-.31489658,10.974325,0,0,1
.092431068,10.048488,1,0,0
-.071522713,10.628386,1,0,0
-.15221214,7.0040331,1,0,0
.13889599,7.2788792,1,0,0
.11531353,8.9262819,1,0,0
.2400856,7.2520275,1,0,0
.14174652,7.7924223,1,0,0
-.23124313,11.113894,0,1,0
-.046666145,7.9751306,0,1,0
.11751747,7.2271767,0,1,0
-.072016716,8.6791439,0,0,1
-.25018787,8.6134024,0,0,1
.43572521,7.9072313,0,0,1
-.69248295,9.9210405,0,0,1
.27957535,12.686762,0,0,1
-.22349644,12.877301,0,0,1
.22494698,7.183569,0,0,0
-.23835945,8.6791439,1,0,0
.46407127,8.6134024,1,0,0
-.40095711,10.67982,1,0,0
.88033962,9.263011,1,0,0
-.11022472,7.4751711,1,0,0
.97532654,7.1862864,1,0,0
-.46997166,8.0895529,0,1,0
-.72536659,8.4684229,1,0,0
.34321785,11.110625,0,0,1
.15959167,11.544664,0,0,1
.19858837,12.289515,0,0,1
-.12786579,9.5814638,1,0,0
-.29800224,10.130255,1,0,0
.030486107,10.065438,0,1,0
.49411392,10.22284,0,1,0
.17225075,8.6682777,0,1,0
.067054749,9.5297623,0,1,0
.31992912,9.263011,0,1,0
-.29119778,8.5208178,0,1,0
.36244774,10.625054,0,1,0
-.11173153,9.6430225,0,0,1
.48771763,11.085285,0,0,1
.17527771,9.2420921,0,0,1
.77621651,11.861835,0,1,0
.29090023,11.401564,0,1,0
.078005791,13.408128,0,0,1
.0096416473,14.449076,0,0,1
-.34078407,10.930436,0,0,1
.33064365,12.319631,0,0,1
.42125511,10.502486,0,0,1
-.0029373169,8.5489445,0,0,1
-.19188976,7.6874485,0,1,0
.094209671,10.384177,0,1,0
.71772671,10.533473,0,1,0
.11628437,9.3317471,0,0,1
-.46708202,8.1683187,0,0,1
.0010595322,10.371261,0,0,1
-.34737206,8.731266,0,0,1
1.0704536,8.6053658,0,0,0
.34259892,12.47494,0,1,0
.023066521,12.707815,0,1,0
.8270092,12.258742,0,1,0
.18614292,12.635781,0,1,0
-.43785477,12.630387,0,0,1
.31973171,9.8383541,0,0,0
-.10053158,8.600378,0,0,0
.47653198,8.5489445,1,0,0
-.44412613,8.8914213,1,0,0
.41808796,13.490575,1,0,0
.37328339,7.2819834,1,0,0
-.042176247,8.2821817,1,0,0
.41874695,8.5208178,0,1,0
-.70053577,9.7777567,0,1,0
.79508018,9.4888716,0,1,0
.014767647,9.9866724,0,1,0
.54429054,9.6475573,0,1,0
.091645241,8.6682777,0,0,0
.15148544,8.1434679,1,0,0
-.0222435,8.7930069,1,0,0
.16294289,9.6761246,1,0,0
.31449699,9.3722916,1,0,0
-.25633621,9.9996967,1,0,0
.16357231,8.7826996,0,1,0
-.017136574,9.5785637,0,1,0
-.26593971,7.3224869,0,1,0
-.087856293,7.8276701,0,1,0
-.029364586,7.0039649,0,0,1
-.046660423,6.939507,0,0,1
-.25879383,8.3872862,1,0,0
.018546104,7.1345229,0,0,0
.25123024,7.40943,1,0,0
-.08668232,9.2420921,1,0,0
-.22806549,9.1730871,0,0,1
.027616501,10.584766,0,0,1
-.31852818,10.848095,0,0,1
.010036469,9.3722916,0,0,1
.22019386,8.6682777,0,1,0
-.49214268,9.5297623,0,0,1
.019033432,10.179301,0,0,1
.13140297,10.024895,0,0,1
-.36978817,10.2052,0,0,1
.31414604,9.9996967,0,0,1
.15398216,10.392138,0,0,1
.27519417,8.2821817,1,0,0
.15844345,8.7439604,1,0,0
.045823097,10.288582,1,0,0
-.24909306,9.30655,1,0,0
.15082932,8.2437029,0,1,0
.90504265,9.0834064,1,0,0
-.1718502,8.6791439,1,0,0
.48124313,7.1862864,1,0,0
-.022883415,7.9072313,1,0,0
-.081348419,7.1218286,0,1,0
-.044819832,10.683181,0,1,0
.26682854,11.475672,0,1,0
